uid,correct,time,style,correctI,correctS,device,csexp
1,true,2661.7999999970198,camelcase,3,add event listener,touch,yes,
1,true,1955.6000000014901,camelcase,1,get by class,touch,yes,
1,true,1416,kebabcase,2,local storage,touch,yes,
1,true,2059.7000000029802,camelcase,3,word array,touch,yes,
1,false,1710.2000000029802,kebabcase,4,correct index,touch,yes,
1,false,1464.8999999985099,kebabcase,2,start time,touch,yes,
1,false,2338,kebabcase,4,event bus,touch,yes,
1,false,1588.2000000029802,camelcase,3,add event listener,touch,yes,
1,true,2492.8000000044703,camelcase,1,get by class,touch,yes,
1,true,1402.1000000014901,kebabcase,2,local storage,touch,yes,
1,true,1263.3999999985099,camelcase,3,word array,touch,yes,
1,false,2061.5,kebabcase,4,correct index,touch,yes,
1,true,1531.6000000014901,kebabcase,2,start time,touch,yes,
2,false,815.3999999985099,kebabcase,2,event bus,null,null,
2,false,180.19999999552965,camelcase,1,add event listener,null,null,
2,false,154.20000000298023,camelcase,3,get by class,null,null,
2,false,163.60000000149012,kebabcase,4,local storage,null,null,
2,false,154,camelcase,1,word array,null,null,
2,false,163.70000000298023,kebabcase,1,correct index,null,null,
2,false,172.5,kebabcase,3,start time,null,null,
2,false,203.40000000596046,kebabcase,2,event bus,null,null,
2,false,154.5,camelcase,1,add event listener,null,null,
2,false,155.19999999552965,camelcase,3,get by class,null,null,
2,false,147.39999999850988,kebabcase,4,local storage,null,null,
2,false,154.80000000447035,camelcase,1,word array,null,null,
2,false,154.70000000298023,kebabcase,1,correct index,null,null,
2,false,145.89999999850988,kebabcase,3,start time,null,null,
2,false,472.5,kebabcase,2,event bus,null,null,
2,false,163.29999999701977,camelcase,1,add event listener,null,null,
2,false,146.60000000149012,camelcase,3,get by class,null,null,
2,false,138.59999999403954,kebabcase,4,local storage,null,null,
2,false,154.89999999850988,camelcase,1,word array,null,null,
2,false,146.5,kebabcase,1,correct index,null,null,
2,false,154.69999999552965,kebabcase,3,start time,null,null,
3,false,383.1000000014901,camelcase,4,event bus,null,null,
3,false,228,kebabcase,3,add event listener,null,null,
3,false,179.19999999552965,kebabcase,1,get by class,null,null,
3,false,137.40000000596046,camelcase,2,local storage,null,null,
3,false,138.70000000298023,kebabcase,3,word array,null,null,
3,false,147.20000000298023,camelcase,4,correct index,null,null,
3,false,163.09999999403954,camelcase,2,start time,null,null,
4,false,431.6000000014901,camelcase,2,event bus,null,null,
4,false,210.90000000596046,kebabcase,1,add event listener,null,null,
4,false,300.20000000298023,kebabcase,3,get by class,null,null,
4,false,236.30000000447035,camelcase,4,local storage,null,null,
4,false,285.19999999552965,kebabcase,1,word array,null,null,
4,false,440.29999999701977,camelcase,1,correct index,null,null,
4,false,220.80000000447035,camelcase,3,start time,null,null,
4,false,399.5,camelcase,1,ruby is cool,null,null,
4,false,422.3999999985099,camelcase,1,move over there,null,null,
4,true,12240.79999999702,camelcase,1,conjugate gradient descent,null,null,
9,false,367,kebabcase,4,event bus,trackpad,yes,
9,false,277.30000001192093,camelcase,3,add event listener,trackpad,yes,
9,false,234.69999998807907,camelcase,1,get by class,trackpad,yes,
