uid,correct,time,style,correctI,correctS,device,csexp
0,true,2290.899999976158,camelcase,1,event bus,trackpad,yes,
0,true,2543,camelcase,2,add event listener,trackpad,yes,
0,true,2882.899999976158,kebabcase,3,get by class,trackpad,yes,
0,true,3113.600000023842,kebabcase,0,cookie clicker,trackpad,yes,
0,true,1996.1000000238419,camelcase,0,word array,trackpad,yes,
0,true,4743.100000023842,camelcase,2,is outer face,trackpad,yes,
0,true,5867.400000035763,camelcase,2,ruby is cool,trackpad,yes,
0,true,2795.400000035763,camelcase,3,orientation test,trackpad,yes,
0,true,4213,kebabcase,2,move over there,trackpad,yes,
0,true,4065.5,camelcase,1,conjugate gradient descent,trackpad,yes,
0,true,5974.199999988079,kebabcase,1,medial axis transform,trackpad,yes,
0,true,11521.199999988079,camelcase,2,large data set,trackpad,yes,
0,true,5855,kebabcase,1,feedforward neural network,trackpad,yes,
0,true,5687.5,kebabcase,3,counter clockwise,trackpad,yes,
0,true,3619.199999988079,kebabcase,3,origin point,trackpad,yes,
0,true,4107.300000011921,kebabcase,2,euclidean distance,trackpad,yes,
0,true,3788.599999964237,camelcase,1,turing machine,trackpad,yes,
0,true,3283.100000023842,camelcase,0,singleton factory,trackpad,yes,
0,true,10680.400000035763,kebabcase,0,train test split,trackpad,yes,
0,true,3440.100000023842,kebabcase,3,up down right,trackpad,yes,
0,true,8572.899999976158,kebabcase,0,delaunay triangulation,trackpad,yes,
0,true,3578,camelcase,1,sin cos tan,trackpad,yes,
0,true,11082.899999976158,camelcase,0,new fixed thread pool,trackpad,yes,
0,true,9151.299999952316,kebabcase,3,terminate experiment!,trackpad,yes,
1,true,4060.399999856949,camelcase,1,event bus,touch,no,
1,true,9677.5,camelcase,2,add event listener,touch,no,
1,true,4171.599999904633,kebabcase,3,get by class,touch,no,
1,true,23412.599999904633,kebabcase,0,cookie clicker,touch,no,
1,true,7311.900000095367,camelcase,0,word array,touch,no,
1,false,33423.200000047684,camelcase,2,is outer face,touch,no,
1,true,3525,camelcase,2,ruby is cool,touch,no,
1,true,7639.900000095367,camelcase,3,orientation test,touch,no,
1,true,5302.799999952316,kebabcase,2,move over there,touch,no,
1,true,16439.89999985695,camelcase,1,conjugate gradient descent,touch,no,
1,false,9902.900000095367,kebabcase,1,medial axis transform,touch,no,
1,false,8578.099999904633,camelcase,2,large data set,touch,no,
1,true,8895.900000095367,kebabcase,1,feedforward neural network,touch,no,
1,true,10501.200000047684,kebabcase,3,counter clockwise,touch,no,
1,true,4355.099999904633,kebabcase,3,origin point,touch,no,
1,true,18412.5,kebabcase,2,euclidean distance,touch,no,
1,true,4354.400000095367,camelcase,1,turing machine,touch,no,
1,true,6308.200000047684,camelcase,0,singleton factory,touch,no,
1,true,4960.299999952316,kebabcase,0,train test split,touch,no,
1,true,3818.0999999046326,kebabcase,3,up down right,touch,no,
1,true,6802.700000047684,kebabcase,0,delaunay triangulation,touch,no,
1,true,4083.5,camelcase,1,sin cos tan,touch,no,
1,true,14563.399999856949,camelcase,0,new fixed thread pool,touch,no,
1,true,10752,kebabcase,3,terminate experiment!,touch,no,
2,true,2248.4000000059605,camelcase,0,event bus,trackpad,yes,
2,true,5678.899999976158,camelcase,3,add event listener,trackpad,yes,
2,true,2396.5,kebabcase,3,get by class,trackpad,yes,
2,true,2763.5999999940395,kebabcase,1,cookie clicker,trackpad,yes,
2,true,1537.5999999940395,camelcase,0,word array,trackpad,yes,
2,false,2200,camelcase,0,is outer face,trackpad,yes,
2,true,3958.800000011921,camelcase,3,ruby is cool,trackpad,yes,
2,true,1980.699999988079,camelcase,1,orientation test,trackpad,yes,
2,true,3355.5,kebabcase,3,move over there,trackpad,yes,
2,true,3454.800000011921,camelcase,1,conjugate gradient descent,trackpad,yes,
2,true,8996.299999982119,kebabcase,2,medial axis transform,trackpad,yes,
2,true,2477,camelcase,0,large data set,trackpad,yes,
2,true,5302.4000000059605,kebabcase,3,feedforward neural network,trackpad,yes,
2,false,3200.7999999821186,kebabcase,3,counter clockwise,trackpad,yes,
2,true,1882.7000000178814,kebabcase,2,origin point,trackpad,yes,
2,true,5890.200000017881,kebabcase,2,euclidean distance,trackpad,yes,
2,true,2517.5,camelcase,2,turing machine,trackpad,yes,
2,true,3716.100000023842,camelcase,1,singleton factory,trackpad,yes,
2,true,3607.800000011921,kebabcase,0,train test split,trackpad,yes,
2,true,2648.2999999821186,kebabcase,0,up down right,trackpad,yes,
2,true,5074.5999999940395,kebabcase,1,delaunay triangulation,trackpad,yes,
2,true,3552.300000011921,camelcase,1,sin cos tan,trackpad,yes,
2,false,22472.90000000596,camelcase,2,new fixed thread pool,trackpad,yes,
2,true,9557.09999999404,kebabcase,2,terminate experiment!,trackpad,yes,
3,true,2945,kebabcase,1,event bus,mouse,yes,
3,true,1988,kebabcase,2,add event listener,mouse,yes,
3,true,3170,camelcase,3,get by class,mouse,yes,
3,true,3143,camelcase,0,cookie clicker,mouse,yes,
3,true,2722,kebabcase,0,word array,mouse,yes,
3,true,4132,kebabcase,2,is outer face,mouse,yes,
3,true,2095,kebabcase,2,ruby is cool,mouse,yes,
3,true,2220.0000000000073,kebabcase,3,orientation test,mouse,yes,
3,true,2296.0000000000073,camelcase,2,move over there,mouse,yes,
3,true,3286,kebabcase,1,conjugate gradient descent,mouse,yes,
3,true,6972,camelcase,1,medial axis transform,mouse,yes,
3,true,6760,kebabcase,2,large data set,mouse,yes,
3,true,6863,camelcase,1,feedforward neural network,mouse,yes,
3,false,6542,camelcase,3,counter clockwise,mouse,yes,
