is1,is2,defcase
1,0,kebabcase,event bus,evenf bus,event pus,event bar
2,3,kebabcase,add event listener,ads event listener,add event litsener,add ewent listener
3,3,camelcase,get by class,git by class,get py class,get by closs
0,1,camelcase,cookie clicker,rookie clicker,cookie klicker,cookie clicher
0,0,kebabcase,word array,werd array,word aaray,word srray
2,0,kebabcase,is outer face,is_outer_face,IsOuterFace,is outer face?
2,3,kebabcase,ruby is cool,rudy is copl,ruby it kool,rudy is cool
3,1,kebabcase,orientation test,orientacion test,orientation text,prientation test
2,3,camelcase,move over there,more over their,moov over their,move ovwr there,
1,1,kebabcase,conjugate gradient descent,coniugate pradyent descent,conjugate pradient decsent,conjugate gradient becsent
1,2,camelcase,medial axis transform,mdeial axis transform,medial xais transform,medial axis tramsform
2,0,kebabcase,large data set,large-dataSet,Large data set,largeData-set
1,3,camelcase,feedforward neural network,feedforward unreal netword,feedforward uneral network,fedfoorward neural netword
3,3,camelcase,counter clockwise,counterclock wise,counter clock wise,counterclockwise
3,2,camelcase,origin point,originp oint,origin boint,otigin point
2,2,camelcase,euclidean distance,euclidian distance,euclidean ditsance,euclidaen distance
1,2,kebabcase,turing machine,boring machine,turing vaccine,luring sardine
0,1,kebabcase,singleton factory,singlefon tactory,5ingleton factory,fingleton sactory
0,0,camelcase,train test split,trainte stspl it,tra intest split,traint ests plit
3,0,camelcase,up down right,down up right,right up down,up right down
0,1,camelcase,delaunay triangulation,deluanoy triangulation,delounay triangulation,deloanay triangulation
1,1,kebabcase,sin cos tan,sin cos ten,sen cos tan,sin coz tan
0,2,kebabcase,new fixed thread pool,new fixed thraed pool,new-fixedThread pool,newfixed thread pool
3,2,camelcase,terminate experiment!,ternimate experiment!,terminate experiment¡,terminate fxperiment!
